objid,ra,dec,u-peaks,g-peaks,r-peaks,i-peaks,u-peak-numbers,u-peak-distance,g-peak-numbers,g-peak-distance,r-peak-numbers,r-peak-distance,i-peak-numbers,i-peak-distance
1237661210434535586,218.439275446014,44.0821798212969,"[(61, 39)(47, 51)]","[(48, 52)(56, 43)]","[(49, 50)(56, 43)]","[(47, 53)(30, 70)]","[61, 39, 47, 51]",18.439088914585774,"[48, 52, 56, 43]",12.041594578792296,"[49, 50, 56, 43]",9.899494936611665,"[47, 53, 30, 70]",24.041630560342615
1237662697033433224,229.663154249931,28.3103519652446,"[(47, 41)(50, 49)]","[(50, 50)(46, 41)]","[(50, 50)(46, 41)]","[(50, 50)(47, 41)]","[47, 41, 50, 49]",8.54400374531753,"[50, 50, 46, 41]",9.848857801796104,"[50, 50, 46, 41]",9.848857801796104,"[50, 50, 47, 41]",9.486832980505138
1237662637978812476,223.52396266384,12.4934175629592,"[(38, 60)(47, 49)]","[(38, 60)(42, 76)]","[(42, 75)(38, 60)]","[(42, 76)(38, 60)]","[38, 60, 47, 49]",14.212670403551895,"[38, 60, 42, 76]",16.492422502470642,"[42, 75, 38, 60]",15.524174696260024,"[42, 76, 38, 60]",16.492422502470642
1237664837001019455,128.87577168803,23.6762016341186,"[(50, 50)(58, 45)]","[(50, 50)(35, 57)]","[(50, 50)(73, 57)]","[(50, 50)(74, 57)]","[50, 50, 58, 45]",9.433981132056603,"[50, 50, 35, 57]",16.55294535724685,"[50, 50, 73, 57]",24.041630560342615,"[50, 50, 74, 57]",25.0
1237664131547660524,144.107263267961,11.3251132612421,"[(42, 57)(49, 62)]","[(66, 97)(61, 89)]","[(66, 98)(49, 50)]","[(66, 98)(63, 90)]","[42, 57, 49, 62]",8.602325267042627,"[66, 97, 61, 89]",9.433981132056603,"[66, 98, 49, 50]",50.92150822589606,"[66, 98, 63, 90]",8.54400374531753
1237663783672807601,28.0946224841857,-0.37130989414978,"[(30, 18)(38, 17)]","[(28, 17)(39, 15)]","[(28, 17)(38, 16)]","[(28, 18)(38, 16)]","[30, 18, 38, 17]",8.06225774829855,"[28, 17, 39, 15]",11.180339887498949,"[28, 17, 38, 16]",10.04987562112089,"[28, 18, 38, 16]",10.198039027185569
1237660958644043794,121.864935838313,25.1340231878599,"[(50, 50)(59, 55)]","[(50, 50)(41, 47)]","[(50, 50)(58, 55)]","[(50, 50)(39, 32)]","[50, 50, 59, 55]",10.295630140987,"[50, 50, 41, 47]",9.486832980505138,"[50, 50, 58, 55]",9.433981132056603,"[50, 50, 39, 32]",21.095023109728988
1237661850392133667,173.720628057968,44.0048579779153,"[(50, 50)(70, 45)]","[(49, 51)(69, 45)]","[(50, 50)(69, 45)]","[(50, 49)(69, 44)]","[50, 50, 70, 45]",20.615528128088304,"[49, 51, 69, 45]",20.8806130178211,"[50, 50, 69, 45]",19.6468827043885,"[50, 49, 69, 44]",19.6468827043885
1237661872399908915,173.248104536828,43.9931654121115,"[(50, 49)(60, 46)]","[(49, 50)(57, 49)]","[(50, 50)(58, 41)]","[(50, 50)(59, 41)]","[50, 49, 60, 46]",10.44030650891055,"[49, 50, 57, 49]",8.06225774829855,"[50, 50, 58, 41]",12.041594578792296,"[50, 50, 59, 41]",12.727922061357855
1237662663757464053,247.7372973043,21.7921491393964,"[(67, 42)(65, 48)]","[(65, 48)(65, 42)]","[(64, 48)(50, 51)]","[(65, 48)(50, 58)]","[67, 42, 65, 48]",6.324555320336759,"[65, 48, 65, 42]",6.0,"[64, 48, 50, 51]",14.317821063276353,"[65, 48, 50, 58]",18.027756377319946
1237656242773950478,339.282127041274,14.231943206506,"[(50, 50)(43, 56)]","[(50, 50)(43, 56)]","[(50, 50)(75, 33)]","[(50, 50)(75, 33)]","[50, 50, 43, 56]",9.219544457292887,"[50, 50, 43, 56]",9.219544457292887,"[50, 50, 75, 33]",30.23243291566195,"[50, 50, 75, 33]",30.23243291566195
1237651067354874085,194.187673845652,65.5504444887598,"[(53, 55)(50, 50)]","[(50, 50)(30, 47)]","[(51, 50)(30, 48)]","[(50, 50)(32, 43)]","[53, 55, 50, 50]",5.830951894845301,"[50, 50, 30, 47]",20.223748416156685,"[51, 50, 30, 48]",21.095023109728988,"[50, 50, 32, 43]",19.313207915827967
1237659324944875741,218.385264427646,54.7834739266831,"[(61, 49)(51, 50)]","[(60, 49)(50, 49)]","[(60, 50)(50, 50)]","[(50, 50)(60, 50)]","[61, 49, 51, 50]",10.04987562112089,"[60, 49, 50, 49]",10.0,"[60, 50, 50, 50]",10.0,"[50, 50, 60, 50]",10.0
1237654880193151117,198.910723684201,4.77012790734977,"[(56, 48)(48, 47)]","[(63, 64)(56, 47)]","[(63, 64)(50, 50)]","[(61, 45)(50, 51)]","[56, 48, 48, 47]",8.06225774829855,"[63, 64, 56, 47]",18.384776310850235,"[63, 64, 50, 50]",19.1049731745428,"[61, 45, 50, 51]",12.529964086141668
1237653618545983554,164.857567855234,61.5515275705751,"[(51, 50)(33, 51)]","[(51, 50)(32, 57)]","[(52, 50)(31, 58)]","[(50, 50)(30, 62)]","[51, 50, 33, 51]",18.027756377319946,"[51, 50, 32, 57]",20.248456731316587,"[52, 50, 31, 58]",22.47220505424423,"[50, 50, 30, 62]",23.323807579381203
1237655370895196434,167.812608220457,62.1414859078681,"[(50, 50)(56, 44)]","[(73, 57)(50, 49)]","[(73, 57)(50, 50)]","[(73, 57)(50, 50)]","[50, 50, 56, 44]",8.48528137423857,"[73, 57, 50, 49]",24.351591323771842,"[73, 57, 50, 50]",24.041630560342615,"[73, 57, 50, 50]",24.041630560342615
1237667782294896722,177.586280495558,22.0129530375056,"[(50, 50)(56, 62)]","[(50, 50)(58, 62)]","[(50, 50)(58, 62)]","[(51, 50)(59, 62)]","[50, 50, 56, 62]",13.416407864998739,"[50, 50, 58, 62]",14.422205101855956,"[50, 50, 58, 62]",14.422205101855956,"[51, 50, 59, 62]",14.422205101855956
1237667733968846969,177.229811940772,21.3123976052269,"[(54, 38)(50, 47)]","[(49, 53)(54, 37)]","[(50, 51)(54, 38)]","[(50, 50)(53, 38)]","[54, 38, 50, 47]",9.848857801796104,"[49, 53, 54, 37]",16.76305461424021,"[50, 51, 54, 38]",13.601470508735444,"[50, 50, 53, 38]",12.36931687685298
