epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,1827,1.08465,0.83675,1.2051,0.60086,0.63529,0.67039,0.4226,1.3421,1.21883,1.54199,0.001109,0.001109,0.001109
182,1836.92,1.10487,0.88692,1.21384,0.56539,0.73465,0.63484,0.38415,1.33952,1.27282,1.53828,0.00110405,0.00110405,0.00110405
183,1846.77,1.09025,0.89742,1.2257,0.58889,0.67059,0.63524,0.40133,1.3297,1.1958,1.54993,0.0010991,0.0010991,0.0010991
184,1856.62,1.062,0.82901,1.17653,0.55341,0.74118,0.64704,0.39826,1.36984,1.39327,1.58415,0.00109415,0.00109415,0.00109415
185,1866.5,1.09074,0.86196,1.18381,0.59696,0.75294,0.70356,0.42616,1.40636,1.08368,1.61603,0.0010892,0.0010892,0.0010892
186,1876.44,1.06599,0.86533,1.17956,0.56757,0.84706,0.74034,0.45027,1.35263,1.06983,1.58129,0.00108425,0.00108425,0.00108425
187,1886.33,1.10353,0.85024,1.21934,0.59687,0.85353,0.71917,0.44603,1.30662,1.0703,1.52118,0.0010793,0.0010793,0.0010793
188,1896.21,1.11527,0.85072,1.21069,0.59034,0.84706,0.67239,0.39616,1.38968,1.1706,1.6043,0.00107435,0.00107435,0.00107435
189,1906.19,1.06871,0.84351,1.17675,0.57897,0.88235,0.73235,0.44901,1.32789,1.07935,1.55636,0.0010694,0.0010694,0.0010694
190,1916.04,1.05825,0.84063,1.17935,0.57117,0.90887,0.71721,0.44557,1.32609,1.17436,1.55949,0.00106445,0.00106445,0.00106445
191,1925.95,1.0556,0.86471,1.19085,0.61055,0.81152,0.718,0.44481,1.38839,1.10031,1.58778,0.0010595,0.0010595,0.0010595
192,1935.86,1.07911,0.84781,1.20121,0.59238,0.84706,0.72554,0.46806,1.36013,1.07484,1.59371,0.00105455,0.00105455,0.00105455
193,1945.89,1.11018,0.86358,1.21662,0.54872,0.85882,0.64277,0.41525,1.33325,1.23266,1.55099,0.0010496,0.0010496,0.0010496
194,1955.77,1.09865,0.85493,1.21273,0.53616,0.74118,0.66579,0.43073,1.39007,1.19344,1.61611,0.00104465,0.00104465,0.00104465
195,1965.67,1.04504,0.84947,1.17171,0.55902,0.81176,0.67112,0.41547,1.35992,1.11535,1.5908,0.0010397,0.0010397,0.0010397
196,1975.57,1.05527,0.84822,1.17662,0.62044,0.80772,0.6451,0.39097,1.37377,1.11791,1.59485,0.00103475,0.00103475,0.00103475
197,1985.56,1.08692,0.84074,1.20255,0.58074,0.8311,0.68387,0.41995,1.35815,1.1966,1.56575,0.0010298,0.0010298,0.0010298
198,1995.41,1.06355,0.84751,1.19396,0.58935,0.86112,0.64439,0.40387,1.33918,1.13663,1.58437,0.00102485,0.00102485,0.00102485
199,2005.37,1.03717,0.84745,1.16539,0.52821,0.82985,0.62991,0.38511,1.37185,1.17623,1.59149,0.0010199,0.0010199,0.0010199
200,2015.62,1.04747,0.81093,1.17913,0.54283,0.90588,0.62046,0.39306,1.34417,1.19731,1.58647,0.00101495,0.00101495,0.00101495
201,2025.48,1.04264,0.81166,1.1838,0.56578,0.82353,0.6408,0.40821,1.33699,1.17099,1.5628,0.00101,0.00101,0.00101
202,2035.33,1.06376,0.84239,1.18422,0.54649,0.87059,0.65052,0.40387,1.35304,1.12697,1.58037,0.00100505,0.00100505,0.00100505
203,2045.23,1.07492,0.81414,1.18021,0.55727,0.8,0.59364,0.38192,1.36595,1.31873,1.57748,0.0010001,0.0010001,0.0010001
204,2055.21,1.05438,0.86602,1.18625,0.59686,0.85349,0.71607,0.44633,1.3594,1.11631,1.57203,0.00099515,0.00099515,0.00099515
205,2065.11,1.05021,0.85046,1.1955,0.62937,0.78824,0.66516,0.40755,1.35338,1.08984,1.57108,0.0009902,0.0009902,0.0009902
206,2074.96,1.06589,0.80357,1.17492,0.53775,0.71765,0.65407,0.40186,1.38218,1.35176,1.59256,0.00098525,0.00098525,0.00098525
207,2084.97,1.06725,0.82317,1.18485,0.58079,0.81497,0.65677,0.40622,1.32473,1.17401,1.5526,0.0009803,0.0009803,0.0009803
208,2094.87,1.02292,0.78848,1.15342,0.54548,0.81176,0.63857,0.3951,1.3529,1.22586,1.59876,0.00097535,0.00097535,0.00097535
209,2104.78,1.03754,0.81962,1.17805,0.61252,0.72533,0.63386,0.38368,1.36843,1.25223,1.59274,0.0009704,0.0009704,0.0009704
210,2114.63,1.05668,0.81452,1.18796,0.57673,0.83529,0.60022,0.37198,1.38811,1.26035,1.62003,0.00096545,0.00096545,0.00096545
211,2124.64,1.03131,0.80867,1.1718,0.60812,0.8,0.63931,0.40439,1.32159,1.07737,1.55891,0.0009605,0.0009605,0.0009605
212,2134.54,1.03379,0.7985,1.18473,0.59906,0.87059,0.7354,0.45292,1.31789,1.03893,1.52588,0.00095555,0.00095555,0.00095555
213,2144.44,1.0195,0.79669,1.15515,0.54979,0.90588,0.65988,0.42141,1.27318,1.14478,1.50442,0.0009506,0.0009506,0.0009506
214,2154.31,1.05067,0.81257,1.18425,0.56825,0.89412,0.65018,0.41065,1.27127,1.17035,1.50866,0.00094565,0.00094565,0.00094565
215,2164.3,1.00361,0.80536,1.16499,0.54676,0.89411,0.6283,0.40536,1.26375,1.17824,1.50252,0.0009407,0.0009407,0.0009407
216,2174.18,1.05555,0.82237,1.18779,0.55363,0.77647,0.59654,0.38534,1.32092,1.30314,1.53747,0.00093575,0.00093575,0.00093575
217,2184.09,1.01234,0.80054,1.15857,0.57397,0.81176,0.6148,0.3975,1.30052,1.14578,1.55461,0.0009308,0.0009308,0.0009308
218,2193.95,1.02809,0.78164,1.15769,0.57451,0.82604,0.6667,0.42087,1.34262,1.10395,1.58128,0.00092585,0.00092585,0.00092585
219,2203.95,1.04457,0.81538,1.18573,0.61607,0.75514,0.65173,0.40182,1.33999,1.28923,1.57127,0.0009209,0.0009209,0.0009209
220,2213.84,0.99823,0.78769,1.13422,0.56144,0.87355,0.65096,0.39677,1.31022,1.20935,1.53773,0.00091595,0.00091595,0.00091595
221,2223.75,1.00632,0.76002,1.15693,0.5521,0.87059,0.59948,0.37929,1.3005,1.26317,1.53619,0.000911,0.000911,0.000911
222,2233.6,1.01048,0.80624,1.16176,0.55243,0.74058,0.58178,0.372,1.31989,1.30793,1.54168,0.00090605,0.00090605,0.00090605
223,2243.61,0.98541,0.74534,1.15427,0.6183,0.77647,0.682,0.43229,1.32431,1.18092,1.54914,0.0009011,0.0009011,0.0009011
224,2253.51,1.00794,0.7841,1.15935,0.5943,0.74118,0.58649,0.37139,1.3239,1.21658,1.5747,0.00089615,0.00089615,0.00089615
225,2263.42,0.99502,0.7747,1.13677,0.57786,0.88578,0.64526,0.40444,1.30515,1.09074,1.54998,0.0008912,0.0008912,0.0008912
226,2273.27,1.01194,0.78211,1.16577,0.5784,0.78824,0.62118,0.40052,1.25069,1.27304,1.49844,0.00088625,0.00088625,0.00088625
227,2283.26,0.98891,0.77233,1.14784,0.56722,0.83264,0.64355,0.40436,1.32796,1.22337,1.55444,0.0008813,0.0008813,0.0008813
228,2293.18,1.01527,0.79229,1.16439,0.53923,0.93625,0.64357,0.41146,1.30964,1.1541,1.57099,0.00087635,0.00087635,0.00087635
229,2303.13,0.99306,0.75688,1.15045,0.57732,0.8,0.61622,0.3825,1.32284,1.16702,1.56703,0.0008714,0.0008714,0.0008714
230,2313.01,1.00087,0.7882,1.15298,0.59813,0.77647,0.6271,0.38766,1.32906,1.1693,1.60264,0.00086645,0.00086645,0.00086645
231,2323.03,1.00741,0.76177,1.17654,0.56487,0.80945,0.64078,0.40197,1.36624,1.24923,1.60234,0.0008615,0.0008615,0.0008615
232,2332.95,0.97771,0.759,1.1413,0.57751,0.81176,0.64183,0.41822,1.34465,1.28951,1.60058,0.00085655,0.00085655,0.00085655
233,2342.86,1.01482,0.78499,1.19396,0.59497,0.77647,0.64956,0.40655,1.37704,1.21985,1.64345,0.0008516,0.0008516,0.0008516
234,2352.82,1.00809,0.76852,1.1558,0.54538,0.85882,0.64708,0.39998,1.33253,1.20086,1.58188,0.00084665,0.00084665,0.00084665
235,2362.71,0.9802,0.78175,1.16289,0.57628,0.87059,0.63832,0.40498,1.33161,1.20779,1.57266,0.0008417,0.0008417,0.0008417
236,2372.6,1.02824,0.76133,1.17199,0.57511,0.87584,0.70002,0.43048,1.37621,1.15919,1.60261,0.00083675,0.00083675,0.00083675
237,2382.49,1.01563,0.76688,1.14613,0.58217,0.74118,0.63141,0.39717,1.41714,1.33707,1.64654,0.0008318,0.0008318,0.0008318
238,2392.42,0.96841,0.76648,1.14714,0.56127,0.79772,0.66219,0.41734,1.37135,1.27363,1.59799,0.00082685,0.00082685,0.00082685
239,2402.29,0.98724,0.77914,1.14005,0.64164,0.69412,0.68404,0.42622,1.34266,1.32401,1.56121,0.0008219,0.0008219,0.0008219
240,2412.12,0.99756,0.75238,1.15099,0.55271,0.83529,0.61592,0.38761,1.33077,1.25826,1.54878,0.00081695,0.00081695,0.00081695
241,2421.97,0.98435,0.76057,1.15102,0.5566,0.82705,0.61059,0.37704,1.36519,1.28227,1.60416,0.000812,0.000812,0.000812
242,2431.89,0.98339,0.791,1.15734,0.54244,0.85882,0.61401,0.37442,1.35227,1.23957,1.61141,0.00080705,0.00080705,0.00080705
243,2441.76,0.98901,0.76781,1.1522,0.55631,0.84081,0.6331,0.39246,1.34342,1.21358,1.58167,0.0008021,0.0008021,0.0008021
244,2451.61,0.97786,0.74761,1.13844,0.60096,0.83274,0.63565,0.40031,1.34533,1.25907,1.57387,0.00079715,0.00079715,0.00079715
245,2461.55,0.9709,0.7257,1.12589,0.6088,0.82389,0.68251,0.43302,1.30159,1.22855,1.55009,0.0007922,0.0007922,0.0007922
246,2471.34,0.97188,0.7535,1.12768,0.60454,0.81176,0.67943,0.4293,1.29791,1.28073,1.52627,0.00078725,0.00078725,0.00078725
247,2481.19,0.97163,0.80103,1.13589,0.55731,0.78824,0.6426,0.41284,1.29151,1.34601,1.50445,0.0007823,0.0007823,0.0007823
248,2491.03,0.93529,0.72188,1.1212,0.55887,0.83529,0.60724,0.38036,1.33902,1.29081,1.58329,0.00077735,0.00077735,0.00077735
249,2500.96,0.96444,0.73791,1.13743,0.60148,0.79904,0.62406,0.38223,1.37468,1.36397,1.61794,0.0007724,0.0007724,0.0007724
250,2510.76,0.98802,0.74767,1.13142,0.59161,0.75294,0.64118,0.39877,1.34491,1.26813,1.60254,0.00076745,0.00076745,0.00076745
251,2520.6,0.95006,0.74216,1.14391,0.57948,0.76471,0.62415,0.40509,1.30925,1.27329,1.56199,0.0007625,0.0007625,0.0007625
252,2530.53,1.00167,0.7466,1.15586,0.64077,0.83944,0.67477,0.42568,1.33097,1.21467,1.55743,0.00075755,0.00075755,0.00075755
253,2540.38,0.95927,0.77688,1.14494,0.5801,0.87059,0.65994,0.41434,1.36053,1.16608,1.56752,0.0007526,0.0007526,0.0007526
254,2550.18,0.95176,0.72185,1.13137,0.61025,0.77369,0.60471,0.38238,1.3235,1.30238,1.56359,0.00074765,0.00074765,0.00074765
255,2560.03,0.9604,0.74175,1.12742,0.63,0.82353,0.65552,0.40949,1.29858,1.1948,1.53284,0.0007427,0.0007427,0.0007427
256,2569.94,0.94863,0.71483,1.13195,0.61234,0.83529,0.67663,0.4231,1.34185,1.28091,1.57057,0.00073775,0.00073775,0.00073775
257,2579.8,0.94844,0.71701,1.12431,0.5968,0.83529,0.64855,0.41729,1.34812,1.15204,1.60507,0.0007328,0.0007328,0.0007328
258,2589.61,0.94979,0.72362,1.11788,0.61576,0.90588,0.64573,0.40512,1.3447,1.18038,1.57764,0.00072785,0.00072785,0.00072785
259,2599.56,0.95036,0.75674,1.12713,0.61177,0.85882,0.67688,0.41259,1.34631,1.21704,1.58072,0.0007229,0.0007229,0.0007229
260,2609.39,0.94054,0.72021,1.11921,0.55881,0.81176,0.70998,0.45158,1.31788,1.20865,1.56092,0.00071795,0.00071795,0.00071795
261,2619.23,0.93256,0.7294,1.10153,0.57584,0.85882,0.65619,0.4252,1.2906,1.18996,1.54132,0.000713,0.000713,0.000713
262,2629.13,0.9337,0.7098,1.12292,0.60171,0.76471,0.64609,0.41185,1.35754,1.32187,1.6016,0.00070805,0.00070805,0.00070805
263,2638.96,0.93151,0.7176,1.12455,0.62385,0.74144,0.66451,0.41523,1.29648,1.33477,1.55451,0.0007031,0.0007031,0.0007031
264,2648.79,0.95516,0.72469,1.13217,0.58335,0.79066,0.61581,0.38441,1.2859,1.2737,1.56055,0.00069815,0.00069815,0.00069815
265,2658.65,0.93432,0.7009,1.11451,0.64377,0.81176,0.65572,0.41135,1.31895,1.22437,1.56694,0.0006932,0.0006932,0.0006932
266,2668.55,0.91966,0.70899,1.10561,0.61998,0.80614,0.66881,0.41092,1.32243,1.21692,1.57142,0.00068825,0.00068825,0.00068825
267,2678.39,0.95674,0.75787,1.13206,0.5838,0.82353,0.6355,0.38943,1.33957,1.2124,1.60686,0.0006833,0.0006833,0.0006833
268,2688.23,0.94369,0.71224,1.11659,0.61981,0.78638,0.66153,0.41097,1.36178,1.22602,1.62246,0.00067835,0.00067835,0.00067835
269,2698.11,0.95142,0.72314,1.14037,0.64867,0.82353,0.66832,0.41559,1.31662,1.15869,1.56379,0.0006734,0.0006734,0.0006734
270,2708.06,0.93155,0.71614,1.11354,0.58785,0.83903,0.65264,0.41603,1.28043,1.25251,1.54177,0.00066845,0.00066845,0.00066845
271,2717.95,0.91899,0.73295,1.11628,0.60269,0.77647,0.65307,0.4265,1.29203,1.21884,1.56225,0.0006635,0.0006635,0.0006635
272,2727.83,0.95283,0.73547,1.13936,0.60341,0.77647,0.67076,0.44222,1.28995,1.30245,1.56784,0.00065855,0.00065855,0.00065855
273,2737.72,0.94642,0.70826,1.13178,0.57668,0.80136,0.67512,0.43061,1.34186,1.26154,1.58925,0.0006536,0.0006536,0.0006536
274,2747.63,0.92184,0.70302,1.10949,0.6066,0.81633,0.67448,0.42625,1.33743,1.26527,1.59803,0.00064865,0.00064865,0.00064865
275,2757.5,0.92961,0.6867,1.09964,0.60282,0.83924,0.69153,0.44602,1.34791,1.22521,1.61483,0.0006437,0.0006437,0.0006437
276,2768,0.9184,0.72467,1.13181,0.62358,0.79907,0.7036,0.44208,1.34919,1.16734,1.61808,0.00063875,0.00063875,0.00063875
277,2777.97,0.92229,0.69886,1.10397,0.64771,0.80033,0.66855,0.41622,1.34073,1.24589,1.59822,0.0006338,0.0006338,0.0006338
278,2787.81,0.90155,0.69694,1.09561,0.62142,0.87059,0.63936,0.40064,1.36107,1.24785,1.6111,0.00062885,0.00062885,0.00062885
279,2797.7,0.91983,0.72381,1.11296,0.61229,0.84706,0.69012,0.42898,1.36212,1.16651,1.60146,0.0006239,0.0006239,0.0006239
280,2807.59,0.9123,0.68182,1.12411,0.63472,0.85882,0.70601,0.43906,1.33104,1.1672,1.57928,0.00061895,0.00061895,0.00061895
281,2817.58,0.93932,0.73041,1.11186,0.61679,0.81425,0.66082,0.40987,1.362,1.2266,1.59605,0.000614,0.000614,0.000614
282,2827.42,0.92424,0.6939,1.11827,0.60359,0.82353,0.63247,0.40554,1.36587,1.38664,1.62721,0.00060905,0.00060905,0.00060905
283,2837.31,0.90686,0.68691,1.11713,0.61064,0.83529,0.63874,0.4116,1.31328,1.29175,1.55938,0.0006041,0.0006041,0.0006041
284,2847.27,0.90347,0.68745,1.10734,0.61563,0.8,0.64881,0.42392,1.27797,1.31517,1.53713,0.00059915,0.00059915,0.00059915
285,2857.14,0.91756,0.70578,1.11098,0.63536,0.83529,0.66729,0.43125,1.35175,1.28051,1.57923,0.0005942,0.0005942,0.0005942
286,2866.95,0.90545,0.70958,1.10298,0.64277,0.80444,0.66325,0.41626,1.35446,1.2561,1.58256,0.00058925,0.00058925,0.00058925
287,2876.8,0.89616,0.70666,1.10025,0.64627,0.81176,0.68693,0.42979,1.33307,1.18586,1.58972,0.0005843,0.0005843,0.0005843
288,2886.77,0.90378,0.68103,1.09121,0.60513,0.84706,0.63543,0.40284,1.31974,1.316,1.5737,0.00057935,0.00057935,0.00057935
289,2896.65,0.90148,0.69289,1.10531,0.66242,0.76471,0.6962,0.43866,1.35049,1.196,1.59718,0.0005744,0.0005744,0.0005744
290,2906.62,0.89976,0.69927,1.10184,0.60786,0.84706,0.67612,0.44251,1.33386,1.22764,1.58994,0.00056945,0.00056945,0.00056945
291,2916.49,0.91267,0.70129,1.08731,0.63674,0.76471,0.68493,0.44092,1.29922,1.28247,1.57555,0.0005645,0.0005645,0.0005645
292,2926.43,0.919,0.71671,1.11576,0.66529,0.82353,0.69605,0.43303,1.34459,1.29301,1.59655,0.00055955,0.00055955,0.00055955
